id,team,predictedteam,match,pass,value,closeEnough,,link
8682791,team__design,team__news,FALSE,FALSE,0.9692,,https://finalsite.zendesk.com/agent/tickets/8682791,https://finalsite.zendesk.com/agent/tickets/8682791
8682756,team__design,team__page_pops,FALSE,FALSE,0.8965,,https://finalsite.zendesk.com/agent/tickets/8682756,https://finalsite.zendesk.com/agent/tickets/8682756
8682746,team__site_performance,team__design,FALSE,FALSE,0.9759,,https://finalsite.zendesk.com/agent/tickets/8682746,https://finalsite.zendesk.com/agent/tickets/8682746
8682743,team__enotify,team__design,FALSE,FALSE,0.8974,,https://finalsite.zendesk.com/agent/tickets/8682743,https://finalsite.zendesk.com/agent/tickets/8682743
8682742,team__site_setup,team__news,FALSE,FALSE,0.9402,,https://finalsite.zendesk.com/agent/tickets/8682742,https://finalsite.zendesk.com/agent/tickets/8682742
8682731,team__design,team__data_uploads,FALSE,FALSE,0.9656,,https://finalsite.zendesk.com/agent/tickets/8682731,https://finalsite.zendesk.com/agent/tickets/8682731
8682728,team__miscellaneous,team__files,FALSE,FALSE,0.9668,,https://finalsite.zendesk.com/agent/tickets/8682728,https://finalsite.zendesk.com/agent/tickets/8682728
8682721,team__miscellaneous,team__email_deliverability,FALSE,FALSE,0.9631,,https://finalsite.zendesk.com/agent/tickets/8682721,https://finalsite.zendesk.com/agent/tickets/8682721
8682722,team__miscellaneous,team__email_deliverability,FALSE,FALSE,0.9631,,https://finalsite.zendesk.com/agent/tickets/8682722,https://finalsite.zendesk.com/agent/tickets/8682722
8682720,team__miscellaneous,team__apply,FALSE,FALSE,0.8755,,https://finalsite.zendesk.com/agent/tickets/8682720,https://finalsite.zendesk.com/agent/tickets/8682720
8682719,team__miscellaneous,team__email_deliverability,FALSE,FALSE,0.9467,,https://finalsite.zendesk.com/agent/tickets/8682719,https://finalsite.zendesk.com/agent/tickets/8682719
8682709,team__site_setup,team__news,FALSE,FALSE,0.9402,,https://finalsite.zendesk.com/agent/tickets/8682709,https://finalsite.zendesk.com/agent/tickets/8682709
8682704,team__site_setup,team__news,FALSE,FALSE,0.9402,,https://finalsite.zendesk.com/agent/tickets/8682704,https://finalsite.zendesk.com/agent/tickets/8682704
8682705,team__site_setup,team__news,FALSE,FALSE,0.9402,,https://finalsite.zendesk.com/agent/tickets/8682705,https://finalsite.zendesk.com/agent/tickets/8682705
8682703,team__site_setup,team__news,FALSE,FALSE,0.941,,https://finalsite.zendesk.com/agent/tickets/8682703,https://finalsite.zendesk.com/agent/tickets/8682703
8682701,team__design,team__news,FALSE,FALSE,0.9418,,https://finalsite.zendesk.com/agent/tickets/8682701,https://finalsite.zendesk.com/agent/tickets/8682701
8682684,team__miscellaneous,team__news,FALSE,FALSE,0.9724,,https://finalsite.zendesk.com/agent/tickets/8682684,https://finalsite.zendesk.com/agent/tickets/8682684
8682677,team__miscellaneous,team__composer,FALSE,FALSE,0.9583,,https://finalsite.zendesk.com/agent/tickets/8682677,https://finalsite.zendesk.com/agent/tickets/8682677
8682671,team__constituents,team__gradebook,FALSE,FALSE,0.8713,,https://finalsite.zendesk.com/agent/tickets/8682671,https://finalsite.zendesk.com/agent/tickets/8682671
8682668,team__classes_group_spaces,team__page_manager,FALSE,FALSE,0.9572,,https://finalsite.zendesk.com/agent/tickets/8682668,https://finalsite.zendesk.com/agent/tickets/8682668
8682665,team__blogs_forums,team__news,FALSE,FALSE,0.9588,,https://finalsite.zendesk.com/agent/tickets/8682665,https://finalsite.zendesk.com/agent/tickets/8682665
8682658,team__training_cms,team__adminusers,FALSE,FALSE,0.958,,https://finalsite.zendesk.com/agent/tickets/8682658,https://finalsite.zendesk.com/agent/tickets/8682658
8682617,team__design,team__forms,FALSE,FALSE,0.9729,,https://finalsite.zendesk.com/agent/tickets/8682617,https://finalsite.zendesk.com/agent/tickets/8682617
8682754,team__data_restores,team__forms,FALSE,TRUE,0.9951,,https://finalsite.zendesk.com/agent/tickets/8682754,https://finalsite.zendesk.com/agent/tickets/8682754
8682755,team__composer,team__support_infrastructure,FALSE,TRUE,0.9915,,https://finalsite.zendesk.com/agent/tickets/8682755,https://finalsite.zendesk.com/agent/tickets/8682755
8682741,team__page_manager,team__data_uploads,FALSE,TRUE,0.9963,,https://finalsite.zendesk.com/agent/tickets/8682741,https://finalsite.zendesk.com/agent/tickets/8682741
8682737,team__site_setup,team__domain_names,FALSE,TRUE,0.9889,,https://finalsite.zendesk.com/agent/tickets/8682737,https://finalsite.zendesk.com/agent/tickets/8682737
8682735,team__data_cleanup,team__constituents,FALSE,TRUE,0.9997,,https://finalsite.zendesk.com/agent/tickets/8682735,https://finalsite.zendesk.com/agent/tickets/8682735
